ID,x,y,z
1,-1.80867204823074,-2.39043573525362,-0.440114335122687
2,3.39823829417289,2.16317277643894,-2.3850253472825
3,-5.64842601246126,6.87665706155455,3.92843963691846
4,-1.78939616741918,-9.25652752255663,-1.25504077109565
5,5.75212894022839,3.13484086299983,4.55977131712229
6,-2.46788436091688,-4.96251318251685,-6.54307768804437
7,4.05817102617094,-4.92720370151679,2.83438585952775
8,-4.6840444704481,3.99690622107326,-6.81290348285875
9,-7.20621242518016,0.592588854734104,-0.0054368255963857
10,-5.37563928291824,-3.33304883149208,6.70861287177214
11,0.729555421752861,8.73145175760744,0.71732422229601
12,-2.0374369888765,2.15625780433568,4.84611376937521
13,7.09248918803162,-4.49972554628607,-3.3171711393118
14,-7.17860496319813,-5.7935749521473,-1.59815317481922
15,-0.674630675287928,-7.18844445216299,6.60381591561081
16,0.333405144760841,7.04778710395213,-5.11998852119366
